Channel_ID,Channel_Name,Channel_Category,Channel_Country,Subscribers,Total_Channel_Views,Video_Count
CH001,TechWorld,Technology,Taiwan,16194478,3358747335,1688
CH002,Daily Music,Music,Taiwan,2334489,439389014,380
CH003,Global News,News & Politics,United States,9728519,4547253172,819
CH004,Game Arena,Gaming,Japan,14053367,4308312065,1265
CH005,K-Entertainment,Entertainment,South Korea,203355,2662062880,509
CH006,Food Explorer,Food,Taiwan,9884633,4335316860,797
CH007,Travel Now,Travel,United States,9405648,2637888186,2608
CH008,Sports Central,Sports,United States,13337723,1968805693,2784
CH009,Science Lab,Education,United Kingdom,5247581,1652661739,1317
CH010,Comedy House,Comedy,Japan,2528388,2931898630,2118
CH011,Movie Studio,Entertainment,South Korea,11059014,4157358011,2111
CH012,World Beats,Music,United States,16033681,4724465844,2995
