Record_ID,Video_ID,Video_Title,Channel_ID,Country_ID,Category_ID,Trending_Date,Published_Date,Trending_Rank,Views,Likes,Comments,Duration_Days
TR000001,VID000001,Top 10 Gaming Moments,CH004,US,C03,2026-06-01,2026-04-02,1,436482,8123,5973,2
TR000002,VID000002,Top 10 Gaming Moments,CH008,CA,C05,2026-06-01,2026-05-30,2,153627,9162,540,6
TR000003,VID000003,Funny Moments You Can't Miss,CH002,KR,C01,2026-06-01,2026-04-18,3,925849,22490,3093,14
TR000004,VID000004,Championship Final Highlights,CH008,US,C05,2026-06-01,2026-03-13,4,525112,49081,4371,10
TR000005,VID000005,2026 Global Music Festival Highlights,CH009,GB,C06,2026-06-01,2026-04-21,5,190342,3167,1263,12
TR000006,VID000006,Breaking News: Global Update,CH008,CA,C05,2026-06-01,2026-03-30,6,264785,26643,2846,3
TR000007,VID000007,AI Technology Explained,CH001,US,C07,2026-06-01,2026-05-27,7,546662,60718,7011,2
TR000008,VID000008,AI Technology Explained,CH001,US,C07,2026-06-01,2026-05-09,8,803750,68502,8162,8
TR000009,VID000009,Behind the Scenes: Movie Production,CH006,TW,C08,2026-06-01,2026-04-27,9,156712,14086,1807,7
TR000010,VID000010,AI Technology Explained,CH007,GB,C09,2026-06-01,2026-05-23,10,410116,36754,864,13
TR000011,VID000011,Best Travel Destinations 2026,CH003,CA,C04,2026-06-01,2026-02-25,11,107071,7323,1462,7
TR000012,VID000012,Breaking News: Global Update,CH011,KR,C02,2026-06-01,2026-04-26,12,1254806,143047,11523,6
TR000013,VID000013,AI Technology Explained,CH012,TW,C01,2026-06-01,2026-04-20,13,730473,77797,8877,4
TR000014,VID000014,2026 Global Music Festival Highlights,CH011,JP,C02,2026-06-01,2026-02-02,14,1408712,153675,7199,1
TR000015,VID000015,2026 Global Music Festival Highlights,CH009,TW,C06,2026-06-01,2026-03-31,15,185293,13170,1395,3
TR000016,VID000016,Championship Final Highlights,CH010,US,C10,2026-06-01,2026-05-08,16,266560,30389,1382,9
TR000017,VID000017,2026 Global Music Festival Highlights,CH004,JP,C03,2026-06-01,2026-03-31,17,434281,20234,2010,11
TR000018,VID000018,2026 Global Music Festival Highlights,CH001,JP,C07,2026-06-01,2026-05-30,18,82991,4826,81,1
TR000019,VID000019,Best Travel Destinations 2026,CH003,GB,C04,2026-06-01,2026-05-30,19,36360,2656,330,11
TR000020,VID000020,Top 10 Gaming Moments,CH008,US,C05,2026-06-01,2026-05-15,20,1944136,177815,11339,2
TR000021,VID000021,Breaking News: Global Update,CH006,JP,C08,2026-06-01,2026-05-21,21,738534,22765,5811,4
TR000022,VID000022,Breaking News: Global Update,CH012,AU,C01,2026-06-01,2026-04-26,22,761837,12754,6037,4
TR000023,VID000023,Funny Moments You Can't Miss,CH007,US,C09,2026-06-01,2026-04-29,23,678753,69884,6989,9
TR000024,VID000024,AI Technology Explained,CH002,JP,C01,2026-06-01,2026-05-01,24,37432,4009,158,10
TR000025,VID000025,Breaking News: Global Update,CH009,GB,C06,2026-06-01,2026-05-30,25,1203188,41888,5466,3
TR000026,VID000026,Championship Final Highlights,CH004,TW,C03,2026-06-01,2026-04-29,26,515256,42463,886,4
TR000027,VID000027,The Ultimate Tech Review 2026,CH006,JP,C08,2026-06-01,2026-03-09,27,69577,7911,1017,14
TR000028,VID000028,Top 10 Gaming Moments,CH002,KR,C01,2026-06-01,2026-04-08,28,1423502,88377,21238,1
TR000029,VID000029,2026 Global Music Festival Highlights,CH004,JP,C03,2026-06-01,2026-05-18,29,1409288,117268,18058,1
TR000030,VID000030,New Science Discovery Explained,CH012,AU,C01,2026-06-01,2026-02-06,30,194719,15930,804,6
TR000031,VID000031,2026 Global Music Festival Highlights,CH003,GB,C04,2026-06-02,2026-05-25,1,1482709,100493,13144,5
TR000032,VID000032,2026 Global Music Festival Highlights,CH012,US,C01,2026-06-02,2026-04-15,2,757637,33700,645,1
TR000033,VID000033,2026 Global Music Festival Highlights,CH012,TW,C01,2026-06-02,2026-03-01,3,811772,75909,11624,14
TR000034,VID000034,Amazing Street Food Tour,CH005,JP,C02,2026-06-02,2026-02-23,4,312106,36808,497,7
TR000035,VID000035,Championship Final Highlights,CH001,US,C07,2026-06-02,2026-05-15,5,899963,79271,7888,2
TR000036,VID000036,Behind the Scenes: Movie Production,CH006,TW,C08,2026-06-02,2026-03-28,6,485278,20229,2320,1
TR000037,VID000037,Breaking News: Global Update,CH008,US,C05,2026-06-02,2026-05-24,7,169565,7770,2074,2
TR000038,VID000038,Top 10 Gaming Moments,CH009,GB,C06,2026-06-02,2026-04-03,8,1762078,121038,13694,1
TR000039,VID000039,The Ultimate Tech Review 2026,CH008,CA,C05,2026-06-02,2026-02-12,9,558101,28178,3318,7
TR000040,VID000040,New Science Discovery Explained,CH006,TW,C08,2026-06-02,2026-05-08,10,527646,16504,7775,10
TR000041,VID000041,AI Technology Explained,CH010,US,C10,2026-06-02,2026-04-14,11,181113,12648,2112,12
TR000042,VID000042,Breaking News: Global Update,CH005,JP,C02,2026-06-02,2026-03-26,12,316532,32733,1050,7
TR000043,VID000043,Breaking News: Global Update,CH008,CA,C05,2026-06-02,2026-05-17,13,449163,21968,5403,12
TR000044,VID000044,Best Travel Destinations 2026,CH010,JP,C10,2026-06-02,2026-03-04,14,688364,12157,9952,9
TR000045,VID000045,Funny Moments You Can't Miss,CH012,US,C01,2026-06-02,2026-06-01,15,316713,13072,2680,8
TR000046,VID000046,Amazing Street Food Tour,CH005,KR,C02,2026-06-02,2026-05-17,16,321950,22296,3228,6
TR000047,VID000047,AI Technology Explained,CH007,GB,C09,2026-06-02,2026-03-18,17,135459,3741,739,5
TR000048,VID000048,Behind the Scenes: Movie Production,CH001,JP,C07,2026-06-02,2026-02-12,18,556248,65553,1692,10
TR000049,VID000049,Amazing Street Food Tour,CH005,JP,C02,2026-06-02,2026-02-22,19,343668,19535,3240,4
TR000050,VID000050,2026 Global Music Festival Highlights,CH002,JP,C01,2026-06-02,2026-05-23,20,127034,10253,990,8
TR000051,VID000051,K-Pop New Release Performance,CH005,KR,C02,2026-06-02,2026-05-29,21,780561,89098,10205,4
TR000052,VID000052,Breaking News: Global Update,CH008,CA,C05,2026-06-02,2026-04-13,22,513077,38585,1212,11
TR000053,VID000053,Behind the Scenes: Movie Production,CH005,JP,C02,2026-06-02,2026-03-29,23,585951,13169,3003,10
TR000054,VID000054,Behind the Scenes: Movie Production,CH010,US,C10,2026-06-02,2026-04-29,24,237352,10057,1825,5
TR000055,VID000055,Behind the Scenes: Movie Production,CH002,TW,C01,2026-06-02,2026-03-19,25,635402,63137,2916,5
TR000056,VID000056,2026 Global Music Festival Highlights,CH009,TW,C06,2026-06-02,2026-04-14,26,791206,72650,1860,7
TR000057,VID000057,Breaking News: Global Update,CH008,US,C05,2026-06-02,2026-04-01,27,95409,8241,1071,9
TR000058,VID000058,K-Pop New Release Performance,CH001,TW,C07,2026-06-02,2026-04-01,28,636073,42705,3911,3
TR000059,VID000059,Top 10 Gaming Moments,CH001,TW,C07,2026-06-02,2026-02-17,29,293229,33857,3024,3
TR000060,VID000060,Funny Moments You Can't Miss,CH010,JP,C10,2026-06-02,2026-05-17,30,1183543,73482,5623,4
TR000061,VID000061,Behind the Scenes: Movie Production,CH011,KR,C02,2026-06-03,2026-02-23,1,2713273,316661,28425,12
TR000062,VID000062,Behind the Scenes: Movie Production,CH001,TW,C07,2026-06-03,2026-02-21,2,663034,15800,7070,9
TR000063,VID000063,Top 10 Gaming Moments,CH002,JP,C01,2026-06-03,2026-03-29,3,1403324,160626,20765,4
TR000064,VID000064,Best Travel Destinations 2026,CH006,JP,C08,2026-06-03,2026-05-03,4,274475,17998,1641,11
TR000065,VID000065,Behind the Scenes: Movie Production,CH010,US,C10,2026-06-03,2026-05-15,5,434079,7028,3166,4
TR000066,VID000066,AI Technology Explained,CH012,US,C01,2026-06-03,2026-02-18,6,162343,15120,1684,14
TR000067,VID000067,Amazing Street Food Tour,CH009,TW,C06,2026-06-03,2026-02-10,7,468556,28495,5683,6
TR000068,VID000068,Funny Moments You Can't Miss,CH005,JP,C02,2026-06-03,2026-02-22,8,190211,7905,2013,2
TR000069,VID000069,Behind the Scenes: Movie Production,CH009,GB,C06,2026-06-03,2026-05-20,9,180369,16665,2483,8
TR000070,VID000070,AI Technology Explained,CH006,JP,C08,2026-06-03,2026-05-10,10,2034641,163003,9200,4
TR000071,VID000071,K-Pop New Release Performance,CH010,US,C10,2026-06-03,2026-04-06,11,207543,10965,886,6
TR000072,VID000072,Breaking News: Global Update,CH001,TW,C07,2026-06-03,2026-05-01,12,184410,10728,1704,13
TR000073,VID000073,The Ultimate Tech Review 2026,CH006,JP,C08,2026-06-03,2026-02-08,13,929091,54737,13030,11
TR000074,VID000074,2026 Global Music Festival Highlights,CH005,JP,C02,2026-06-03,2026-05-01,14,1937014,187208,14460,11
TR000075,VID000075,Funny Moments You Can't Miss,CH005,TW,C02,2026-06-03,2026-04-01,15,1402170,104817,1992,3
TR000076,VID000076,Amazing Street Food Tour,CH001,TW,C07,2026-06-03,2026-02-11,16,304062,6966,3201,5
TR000077,VID000077,Amazing Street Food Tour,CH006,TW,C08,2026-06-03,2026-04-11,17,2182852,206265,13050,14
TR000078,VID000078,2026 Global Music Festival Highlights,CH009,US,C06,2026-06-03,2026-06-02,18,806979,92944,7496,1
TR000079,VID000079,New Science Discovery Explained,CH008,CA,C05,2026-06-03,2026-04-30,19,193320,16531,1555,3
TR000080,VID000080,K-Pop New Release Performance,CH011,JP,C02,2026-06-03,2026-05-22,20,326483,32883,4745,9
TR000081,VID000081,Best Travel Destinations 2026,CH001,US,C07,2026-06-03,2026-04-17,21,1788331,146880,21769,6
TR000082,VID000082,K-Pop New Release Performance,CH012,TW,C01,2026-06-03,2026-04-26,22,299565,23620,2915,3
TR000083,VID000083,2026 Global Music Festival Highlights,CH002,TW,C01,2026-06-03,2026-04-26,23,1051859,48686,8511,5
TR000084,VID000084,Top 10 Gaming Moments,CH004,TW,C03,2026-06-03,2026-04-08,24,398883,41252,4646,8
TR000085,VID000085,Breaking News: Global Update,CH005,TW,C02,2026-06-03,2026-05-28,25,55969,4561,222,9
TR000086,VID000086,Championship Final Highlights,CH007,GB,C09,2026-06-03,2026-03-15,26,404691,12525,1016,4
TR000087,VID000087,Behind the Scenes: Movie Production,CH008,CA,C05,2026-06-03,2026-04-08,27,1199140,82860,17519,3
TR000088,VID000088,New Science Discovery Explained,CH003,US,C04,2026-06-03,2026-05-29,28,349647,17913,1937,5
TR000089,VID000089,K-Pop New Release Performance,CH006,TW,C08,2026-06-03,2026-05-29,29,105441,5614,822,9
TR000090,VID000090,K-Pop New Release Performance,CH010,JP,C10,2026-06-03,2026-04-17,30,365297,29563,615,13
TR000091,VID000091,Championship Final Highlights,CH001,JP,C07,2026-06-04,2026-04-29,1,817631,28105,2890,6
TR000092,VID000092,Behind the Scenes: Movie Production,CH010,US,C10,2026-06-04,2026-03-09,2,943647,66794,10330,14
TR000093,VID000093,The Ultimate Tech Review 2026,CH011,US,C02,2026-06-04,2026-05-28,3,1052679,98646,991,10
TR000094,VID000094,Amazing Street Food Tour,CH006,TW,C08,2026-06-04,2026-02-09,4,708593,28669,3120,12
TR000095,VID000095,Behind the Scenes: Movie Production,CH010,JP,C10,2026-06-04,2026-04-08,5,92919,4739,685,3
TR000096,VID000096,The Ultimate Tech Review 2026,CH009,GB,C06,2026-06-04,2026-05-17,6,543991,13124,4508,8
TR000097,VID000097,The Ultimate Tech Review 2026,CH008,US,C05,2026-06-04,2026-02-16,7,300117,15943,2960,11
TR000098,VID000098,Amazing Street Food Tour,CH008,US,C05,2026-06-04,2026-02-15,8,226748,11266,3183,6
TR000099,VID000099,Championship Final Highlights,CH005,TW,C02,2026-06-04,2026-03-26,9,230811,7983,1069,7
TR000100,VID000100,Top 10 Gaming Moments,CH009,TW,C06,2026-06-04,2026-06-01,10,271814,19047,1753,8
TR000101,VID000101,Funny Moments You Can't Miss,CH006,JP,C08,2026-06-04,2026-03-12,11,248507,8186,2533,2
TR000102,VID000102,Behind the Scenes: Movie Production,CH011,JP,C02,2026-06-04,2026-04-14,12,941652,97038,3270,6
TR000103,VID000103,New Science Discovery Explained,CH004,US,C03,2026-06-04,2026-03-12,13,86895,2351,812,5
TR000104,VID000104,New Science Discovery Explained,CH011,US,C02,2026-06-04,2026-02-24,14,464206,22591,4229,2
TR000105,VID000105,2026 Global Music Festival Highlights,CH008,CA,C05,2026-06-04,2026-05-30,15,1210195,50510,12563,9
TR000106,VID000106,2026 Global Music Festival Highlights,CH011,US,C02,2026-06-04,2026-05-11,16,248477,19540,2985,5
TR000107,VID000107,AI Technology Explained,CH012,TW,C01,2026-06-04,2026-03-18,17,266091,29875,2917,13
TR000108,VID000108,Breaking News: Global Update,CH008,US,C05,2026-06-04,2026-02-19,18,127792,11987,1545,5
TR000109,VID000109,Funny Moments You Can't Miss,CH005,KR,C02,2026-06-04,2026-03-13,19,591120,31138,7814,2
TR000110,VID000110,New Science Discovery Explained,CH008,CA,C05,2026-06-04,2026-04-26,20,3525034,317066,47747,1
TR000111,VID000111,Amazing Street Food Tour,CH007,GB,C09,2026-06-04,2026-05-20,21,68809,3860,565,8
TR000112,VID000112,Best Travel Destinations 2026,CH008,US,C05,2026-06-04,2026-04-26,22,1198930,32699,16937,3
TR000113,VID000113,Funny Moments You Can't Miss,CH008,CA,C05,2026-06-04,2026-04-01,23,2435895,183132,36456,1
TR000114,VID000114,The Ultimate Tech Review 2026,CH005,JP,C02,2026-06-04,2026-04-10,24,428338,12862,1484,10
TR000115,VID000115,Championship Final Highlights,CH005,JP,C02,2026-06-04,2026-03-22,25,1248608,33233,15949,4
TR000116,VID000116,Top 10 Gaming Moments,CH008,US,C05,2026-06-04,2026-05-06,26,265662,19044,2006,12
TR000117,VID000117,Top 10 Gaming Moments,CH002,JP,C01,2026-06-04,2026-03-01,27,1673518,150949,15372,11
TR000118,VID000118,Behind the Scenes: Movie Production,CH010,US,C10,2026-06-04,2026-04-27,28,3266786,126986,21698,14
TR000119,VID000119,Top 10 Gaming Moments,CH011,JP,C02,2026-06-04,2026-05-22,29,1053732,81412,2088,5
TR000120,VID000120,Behind the Scenes: Movie Production,CH008,US,C05,2026-06-04,2026-03-24,30,173422,14462,2026,9
TR000121,VID000121,2026 Global Music Festival Highlights,CH006,TW,C08,2026-06-05,2026-05-07,1,236234,8165,2986,6
TR000122,VID000122,Amazing Street Food Tour,CH007,GB,C09,2026-06-05,2026-04-26,2,269577,21250,1617,9
TR000123,VID000123,The Ultimate Tech Review 2026,CH010,US,C10,2026-06-05,2026-04-09,3,1037419,115760,5728,11
TR000124,VID000124,K-Pop New Release Performance,CH002,JP,C01,2026-06-05,2026-05-19,4,43445,3329,42,3
TR000125,VID000125,K-Pop New Release Performance,CH006,JP,C08,2026-06-05,2026-05-11,5,29825,3312,171,6
TR000126,VID000126,Top 10 Gaming Moments,CH010,US,C10,2026-06-05,2026-02-11,6,419033,35480,1291,9
TR000127,VID000127,K-Pop New Release Performance,CH001,JP,C07,2026-06-05,2026-03-11,7,5799949,127848,65971,8
